Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816401, Image Name = elps_eye34_2015-06-04_08-33-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816328, Image Name = elps_eye34_2015-06-04_08-33-00-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816311, Image Name = elps_eye33_2015-05-16_02-52-00-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816306, Image Name = elps_eye33_2015-05-16_02-48-00-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816304, Image Name = elps_eye33_2015-05-16_02-50-00-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816261, Image Name = elps_eye33_2015-05-16_02-47-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816245, Image Name = elps_eye33_2015-05-16_02-53-00-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816229, Image Name = elps_eye34_2015-06-04_08-32-00-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816214, Image Name = elps_eye33_2015-05-16_02-49-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816138, Image Name = elps_eye33_2015-05-16_02-51-00-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816122, Image Name = elps_eye33_2015-05-16_02-52-45-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816109, Image Name = elps_eye34_2015-06-04_08-32-30-004.png, Width = 320, Height = 240
